itemid,property,value
100480,brand,brand_12
100481,brand,brand_46
100482,brand,brand_27
100483,brand,brand_2
100484,brand,brand_24
100485,brand,brand_5
100486,brand,brand_32
100487,brand,brand_4
100488,brand,brand_21
100489,brand,brand_35
100490,brand,brand_37
100491,brand,brand_49
100492,brand,brand_2
100493,brand,brand_17
100494,brand,brand_45
100495,brand,brand_17
100496,brand,brand_5
100497,brand,brand_30
100498,brand,brand_11
100499,brand,brand_24
100500,brand,brand_28
